administration,State,start_PC_PI,end_PC_PI,dif_PC_PI,start_PC_DPI,end_PC_DPI,dif_PC_DPI,start_PC_PCE,end_PC_PCE,dif_PC_PCE,vote,presidental_party,US_start_PC_PI,US_end_PC_PI,US_dif_PC_PI,US_start_PC_DPI,US_end_PC_DPI,US_dif_PC_DPI,US_start_PC_PCE,US_end_PC_PCE,US_dif_PC_PCE,PC_PI_dif,PC_DPI_dif,PC_PCE_dif
Bush,Arkansas,23841,32157,8316,21202,28916,7714,19615,26147,6532,Republican,Republican,31548,40854,9306,27204,35902,8698,24823,33049,8226,-990,-984,-1694
Bush,California,33915,43391,9476,28677,37601,8924,25721,35379,9658,Democrat,Republican,31548,40854,9306,27204,35902,8698,24823,33049,8226,170,226,1432
Bush,Delaware,36917,41254,4337,32112,36279,4167,28267,37327,9060,Democrat,Republican,31548,40854,9306,27204,35902,8698,24823,33049,8226,-4969,-4531,834
Bush,District of Columbia,44809,60609,15800,37650,51376,13726,40644,57545,16901,Democrat,Republican,31548,40854,9306,27204,35902,8698,24823,33049,8226,6494,5028,8675
Bush,Hawaii,30178,41887,11709,26532,37440,10908,25717,35574,9857,Democrat,Republican,31548,40854,9306,27204,35902,8698,24823,33049,8226,2403,2210,1631
Bush,Idaho,25803,32690,6887,22738,29349,6611,20694,27290,6596,Republican,Republican,31548,40854,9306,27204,35902,8698,24823,33049,8226,-2419,-2087,-1630
Bush,Illinois,34206,43238,9032,29510,37808,8298,25799,34024,8225,Democrat,Republican,31548,40854,9306,27204,35902,8698,24823,33049,8226,-274,-400,-1
Bush,Kansas,29047,41060,12013,25399,36471,11072,23568,31579,8011,Republican,Republican,31548,40854,9306,27204,35902,8698,24823,33049,8226,2707,2374,-215
Bush,Kentucky,25564,32830,7266,22379,29309,6930,21277,27754,6477,Republican,Republican,31548,40854,9306,27204,35902,8698,24823,33049,8226,-2040,-1768,-1749
Bush,Louisiana,25630,38328,12698,22933,34439,11506,20261,29037,8776,Republican,Republican,31548,40854,9306,27204,35902,8698,24823,33049,8226,3392,2808,550
Bush,Maine,28821,36960,8139,25272,33073,7801,25390,34194,8804,Democrat,Republican,31548,40854,9306,27204,35902,8698,24823,33049,8226,-1167,-897,578
Bush,Maryland,37012,49026,12014,31389,42392,11003,27462,37207,9745,Democrat,Republican,31548,40854,9306,27204,35902,8698,24823,33049,8226,2708,2305,1519
Bush,Massachusetts,39711,51546,11835,32755,43818,11063,30997,41751,10754,Democrat,Republican,31548,40854,9306,27204,35902,8698,24823,33049,8226,2529,2365,2528
Bush,Minnesota,33417,42983,9566,28635,37341,8706,27929,35809,7880,Democrat,Republican,31548,40854,9306,27204,35902,8698,24823,33049,8226,260,8,-346
Bush,Mississippi,22806,30736,7930,20625,28099,7474,18451,25510,7059,Republican,Republican,31548,40854,9306,27204,35902,8698,24823,33049,8226,-1376,-1224,-1167
Bush,Missouri,28634,37124,8490,24979,32963,7984,24458,31588,7130,Republican,Republican,31548,40854,9306,27204,35902,8698,24823,33049,8226,-816,-714,-1096
